Geneid,PC3_Hypoxia_S2,LNCAP_Hypoxia_S1,PC3_Normoxia_S2,PC3_Hypoxia_S1,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S2,featurecounts.txt,PC3_Normoxia_S1
ENSG00000226167,18,25,43,53,33,45,43,25,14
ENSG00000224613,1,0,3,1,0,0,3,0,0
ENSG00000308853,2,15,3,11,4,7,14,15,0
ENSG00000308854,0,0,1,1,0,0,0,0,0
ENSG00000230759,0,0,0,0,0,0,0,0,0
ENSG00000308877,0,0,0,0,1,0,0,0,0
ENSG00000236335,0,0,0,0,0,0,0,0,0
ENSG00000224699,48,333,238,178,332,429,404,333,81
ENSG00000288736,16,0,18,28,0,0,0,0,7
ENSG00000308913,0,0,0,0,0,0,0,0,0
ENSG00000308919,0,0,0,0,0,0,0,0,0
ENSG00000225126,0,0,0,0,0,0,2,0,0
ENSG00000308930,0,0,2,0,0,0,0,0,0
ENSG00000308931,0,2,1,0,2,1,0,2,0
ENSG00000243062,0,0,0,0,0,0,0,0,0
ENSG00000308945,0,0,0,0,0,0,0,0,0
ENSG00000308952,0,0,0,0,0,0,0,0,0
ENSG00000236546,5,1,6,11,3,1,5,1,2
ENSG00000282097,0,0,1,0,0,0,2,0,1
ENSG00000308985,0,0,0,0,1,1,1,0,0
ENSG00000284739,0,0,0,0,0,0,0,0,0
ENSG00000309002,0,0,0,0,0,0,0,0,0
ENSG00000283044,0,0,0,0,0,0,0,0,0
ENSG00000309051,0,0,0,0,0,0,0,0,0
ENSG00000287691,2,3,8,2,0,2,1,3,2
ENSG00000260990,0,0,0,0,0,0,0,0,0
ENSG00000234497,0,0,0,0,0,0,1,0,0
ENSG00000284734,0,0,0,0,0,0,0,0,0
ENSG00000227421,0,0,0,0,0,0,0,0,0
ENSG00000309084,0,0,0,0,0,0,0,0,0
ENSG00000309086,0,3,0,0,1,0,0,3,0
ENSG00000309087,0,0,0,0,0,0,0,0,0
ENSG00000309097,0,1,0,0,0,0,0,1,0
ENSG00000309098,0,0,2,0,1,0,0,0,0
ENSG00000309100,0,0,0,0,0,0,0,0,0
ENSG00000309102,0,0,0,0,0,0,0,0,0
ENSG00000238260,2,68,5,4,52,68,69,68,2
ENSG00000309111,0,0,0,0,0,0,0,0,0
ENSG00000309127,0,0,0,0,0,0,0,0,0
ENSG00000285521,2,20,6,6,15,16,19,20,3
ENSG00000309175,0,0,1,0,0,0,0,0,0
ENSG00000309177,1,0,0,1,0,0,0,0,0
ENSG00000309188,0,0,1,1,0,0,0,0,0
ENSG00000309193,0,0,1,0,0,0,0,0,0
ENSG00000289881,12,11,20,23,8,19,22,11,14
ENSG00000270094,0,0,0,0,0,0,0,0,0
ENSG00000230550,1,0,1,0,0,0,0,0,1
ENSG00000238022,0,0,0,0,0,0,0,0,0
ENSG00000227712,1,14,6,5,48,51,26,14,3
ENSG00000309362,0,0,0,1,0,0,0,0,0
ENSG00000309373,0,2,0,0,0,0,0,2,0
ENSG00000309383,0,0,0,0,0,0,0,0,0
ENSG00000309388,0,0,0,0,0,0,0,0,0
ENSG00000290592,0,1,0,0,0,0,1,1,0
ENSG00000236206,1,0,3,5,1,1,1,0,1
ENSG00000309399,0,0,0,0,0,0,0,0,0
ENSG00000228863,0,0,0,2,0,0,0,0,0
ENSG00000288826,19,57,54,35,89,60,57,57,9
ENSG00000309413,0,0,0,0,0,0,0,0,0
ENSG00000309419,0,0,0,0,0,0,0,0,0
ENSG00000309426,0,0,0,0,0,0,0,0,0
ENSG00000228084,0,26,7,4,51,62,31,26,4
ENSG00000309433,3,0,5,8,0,0,0,0,3
ENSG00000309446,0,0,1,0,0,1,0,0,0
ENSG00000309464,0,0,0,0,0,0,0,0,0
ENSG00000293455,0,0,0,1,0,0,0,0,0
ENSG00000309514,3,3,4,3,3,3,7,3,1
ENSG00000309519,0,0,0,0,0,0,0,0,0
ENSG00000309595,0,2,1,0,4,4,0,2,1
ENSG00000309606,0,0,1,0,0,0,0,0,0
ENSG00000309635,4,2,2,2,7,10,6,2,2
ENSG00000309640,1,0,0,0,14,1,0,0,0
ENSG00000290074,6,8,21,8,28,20,13,8,11
ENSG00000288905,7,3,0,12,5,17,4,3,0
ENSG00000289457,8,1,32,16,4,2,0,1,6
ENSG00000309664,0,0,0,0,0,0,0,0,0
ENSG00000234807,46,59,63,100,67,101,64,59,25
ENSG00000309694,0,0,0,2,0,0,0,0,0
ENSG00000288862,0,0,0,0,0,0,0,0,0
ENSG00000241042,1,0,0,2,0,0,0,0,0
ENSG00000309714,0,0,0,0,0,0,0,0,0
ENSG00000272906,2,63,14,15,25,33,63,63,4
ENSG00000224609,47,49,60,101,38,35,43,49,23
ENSG00000309747,1,0,0,2,0,0,0,0,1
ENSG00000287743,0,4,1,3,3,5,3,4,0
ENSG00000232453,4,10,5,10,13,16,7,10,3
ENSG00000309774,0,0,0,0,0,0,0,0,0
ENSG00000231740,0,0,1,3,0,0,2,0,0
ENSG00000285407,0,0,0,1,0,1,4,0,0
ENSG00000309803,0,1,1,3,0,0,0,1,1
ENSG00000309812,2,1,3,6,10,7,7,1,3
ENSG00000309818,0,0,0,0,0,0,0,0,0
ENSG00000309829,0,0,0,1,0,0,0,0,0
ENSG00000309848,0,0,0,0,0,0,0,0,0
ENSG00000233431,0,0,0,0,0,0,0,0,0
ENSG00000309869,0,0,0,0,0,0,0,0,0
ENSG00000309892,0,0,0,0,0,2,0,0,0
ENSG00000284882,0,24,6,3,15,7,37,24,0
ENSG00000228086,0,1,4,7,3,2,1,1,0
ENSG00000309905,0,0,0,0,0,0,0,0,0
ENSG00000309922,12,36,40,34,61,52,54,36,8
ENSG00000309933,0,3,0,0,2,0,2,3,1
ENSG00000309938,1,0,1,0,0,0,0,0,0
ENSG00000228420,0,0,0,0,0,0,0,0,0
ENSG00000309961,0,0,0,0,0,0,0,0,0
ENSG00000284748,0,1,1,0,3,0,1,1,0
ENSG00000309980,0,6,0,0,32,27,2,6,0
ENSG00000309988,0,10,4,2,5,11,3,10,2
ENSG00000310018,0,0,0,0,0,0,0,0,0
ENSG00000310078,0,0,0,0,0,1,0,0,0
ENSG00000310092,0,0,0,0,0,0,0,0,0
ENSG00000233008,8,1,35,38,0,1,3,1,14
ENSG00000310101,1,5,4,2,3,8,4,5,2
ENSG00000310112,1,1,0,2,0,0,0,1,1
ENSG00000310120,0,0,1,0,0,0,0,0,1
ENSG00000310124,0,3,0,0,0,0,1,3,0
ENSG00000228058,0,1,15,18,0,0,0,1,5
ENSG00000290854,0,28,0,0,38,44,29,28,0
ENSG00000310145,0,0,0,0,2,1,0,0,0
ENSG00000230426,0,0,0,0,5,2,2,0,0
ENSG00000293188,0,188,1,0,161,205,252,188,0
ENSG00000310168,0,0,0,0,0,0,0,0,0
ENSG00000310191,2,96,9,6,40,55,75,96,7
ENSG00000310209,0,0,0,0,2,1,0,0,0
ENSG00000272004,2,32,10,3,35,47,28,32,1
ENSG00000270361,0,62,10,10,42,73,65,62,2
ENSG00000310217,3,6,6,6,4,5,9,6,3
ENSG00000310238,1,0,0,0,0,0,0,0,0
ENSG00000310264,0,0,0,0,0,0,1,0,0
ENSG00000236936,2,0,8,3,0,0,0,0,4
ENSG00000289610,2,6,10,9,1,9,1,6,3
ENSG00000310279,0,0,2,0,0,0,0,0,1
ENSG00000310281,0,0,0,0,0,0,0,0,0
ENSG00000310285,0,0,0,0,1,0,2,0,0
ENSG00000203706,48,0,149,78,0,1,0,0,49
ENSG00000310286,0,8,14,5,5,10,19,8,7
ENSG00000310292,0,0,1,3,0,0,0,0,2
ENSG00000310305,0,0,0,0,0,0,0,0,0
ENSG00000280425,0,1,0,0,1,0,0,1,0
ENSG00000310307,6,1,11,7,1,7,0,1,6
ENSG00000234070,0,0,0,0,0,0,0,0,0
ENSG00000310329,0,0,0,0,0,0,0,0,0
ENSG00000234593,1,1,7,5,1,2,2,1,1
ENSG00000310332,0,0,0,2,0,0,0,0,0
ENSG00000223635,3,7,7,5,11,15,5,7,1
ENSG00000310335,0,0,1,0,2,5,1,0,0
ENSG00000282740,0,0,0,0,1,1,0,0,0
ENSG00000310342,0,1,0,0,0,0,0,1,0
ENSG00000310343,0,0,0,0,0,0,0,0,0
ENSG00000310344,0,0,0,0,0,0,0,0,0
ENSG00000310349,0,2,7,6,11,4,4,2,3
ENSG00000290851,0,5,0,0,5,2,3,5,0
ENSG00000235933,0,0,1,0,0,0,0,0,0
ENSG00000310359,0,0,0,0,0,0,0,0,0
ENSG00000310360,0,0,0,0,0,0,0,0,0
ENSG00000290850,0,0,0,1,0,0,1,0,0
ENSG00000310380,0,0,0,0,0,0,0,0,0
ENSG00000310381,0,0,1,1,2,1,0,0,0
ENSG00000310397,0,3,0,0,2,5,4,3,0
ENSG00000310413,0,0,0,0,0,0,0,0,0
ENSG00000310414,0,0,2,1,0,0,0,0,1
ENSG00000310419,4,6,8,13,2,6,8,6,4
ENSG00000310425,0,0,3,1,0,0,0,0,0
ENSG00000310431,1,62,4,3,56,93,32,62,0
ENSG00000237402,0,8,1,0,0,10,1,8,0
ENSG00000310448,0,0,0,0,0,0,0,0,0
ENSG00000310450,0,0,0,0,0,0,0,0,0
ENSG00000284696,0,0,0,0,2,1,0,0,0
ENSG00000310465,0,0,0,0,0,0,0,0,0
ENSG00000310467,0,0,0,0,0,0,0,0,0
ENSG00000310470,0,0,0,0,0,0,0,0,0
ENSG00000285554,5,1,6,4,2,1,0,1,2
ENSG00000288007,1,6,8,5,10,12,5,6,5
ENSG00000310475,0,0,2,0,1,2,1,0,2
ENSG00000310476,0,0,6,0,0,0,0,0,0
ENSG00000310477,0,0,1,0,0,0,0,0,0
ENSG00000310486,0,0,0,0,0,0,0,0,0
ENSG00000224535,1,0,1,1,1,0,0,0,0
ENSG00000260805,1,28,14,3,28,30,37,28,2
ENSG00000286263,1,0,3,0,0,0,0,0,1
ENSG00000310497,3,18,5,1,14,18,9,18,3
ENSG00000237520,1,10,10,5,17,9,2,10,1
ENSG00000310502,0,1,2,5,2,1,2,1,0
ENSG00000310506,0,0,0,0,0,0,0,0,0
ENSG00000310509,3,0,3,4,0,2,0,0,1
ENSG00000310510,0,0,0,0,0,0,0,0,0
ENSG00000310513,0,0,0,0,0,0,0,0,0
ENSG00000307240,0,0,0,0,0,0,0,0,0
ENSG00000137947,257,1396,800,773,1670,2136,1576,1396,313
ENSG00000235308,0,0,4,1,0,0,0,0,0
ENSG00000137944,113,457,319,324,504,536,529,457,114
ENSG00000117226,64,144,248,162,248,324,143,144,101
ENSG00000238279,14,0,22,44,1,0,0,0,3
ENSG00000306517,0,0,1,6,0,0,4,0,1
ENSG00000305696,0,0,2,0,0,0,0,0,0
ENSG00000297700,9,7,12,26,4,6,16,7,6
ENSG00000297685,0,0,1,0,0,0,0,0,0
ENSG00000301541,1,2,2,1,1,2,5,2,0
ENSG00000189171,368,225,1062,1105,247,364,246,225,417
ENSG00000143621,3041,13554,10012,9242,13709,15829,16003,13554,3872
ENSG00000298580,5,2,30,12,15,15,12,2,12
ENSG00000234425,0,0,0,0,0,0,0,0,0
ENSG00000162738,234,350,900,824,163,235,345,350,320
ENSG00000297068,3,7,14,13,6,4,4,7,6
ENSG00000289141,0,10,11,9,29,40,13,10,5
ENSG00000297047,5,3,10,21,6,15,2,3,7
ENSG00000283696,4,7,10,5,2,0,3,7,2
ENSG00000294430,0,0,0,0,0,0,1,0,0
ENSG00000143851,0,3,0,0,3,3,0,3,0
ENSG00000293457,0,0,0,0,3,2,0,0,0
ENSG00000295211,0,0,0,0,0,0,0,0,0
ENSG00000306579,2,0,9,2,1,0,0,0,4
ENSG00000306556,0,0,0,0,0,0,0,0,0
ENSG00000303267,0,0,1,0,3,1,0,0,1
ENSG00000303194,0,0,1,0,0,0,0,0,0
ENSG00000303176,0,0,0,0,1,0,1,0,0
ENSG00000277168,0,0,0,0,0,0,0,0,0
ENSG00000183431,264,3910,1096,902,5376,6676,4146,3910,404
ENSG00000212541,0,5,1,7,17,15,4,5,1
ENSG00000183386,3,65,69,33,58,103,65,65,27
ENSG00000183520,296,2091,1108,1002,3184,3337,2670,2091,453
ENSG00000224592,0,4,0,1,0,0,0,4,0
ENSG00000185668,0,8,2,2,1,4,6,8,0
ENSG00000223589,0,0,0,0,0,0,0,0,0
ENSG00000265596,0,0,0,0,0,0,0,0,0
ENSG00000304314,14,0,59,22,0,0,0,0,22
ENSG00000293444,0,0,0,0,0,0,0,0,0
ENSG00000118193,1111,1592,3282,3943,1499,1308,1840,1592,1250
ENSG00000118197,209,867,592,544,1485,1635,1028,867,226
ENSG00000260088,2,21,6,2,27,40,10,21,6
ENSG00000118200,368,7021,1368,1223,5885,5848,8137,7021,403
ENSG00000290825,0,0,0,0,0,0,0,0,0
ENSG00000243485,0,1,0,0,0,0,0,1,0
ENSG00000237613,0,0,0,0,0,0,0,0,0
ENSG00000308361,0,0,0,0,0,0,0,0,0
ENSG00000308314,0,0,0,0,0,0,0,0,0
ENSG00000239906,0,0,0,0,0,0,0,0,0
ENSG00000273874,0,0,0,0,0,0,0,0,0
ENSG00000308625,0,0,0,0,0,0,0,0,0
ENSG00000308544,0,0,0,0,0,0,0,0,0
ENSG00000303544,2,7,9,13,10,15,0,7,3
ENSG00000304862,8,8,13,14,3,7,10,8,2
ENSG00000309929,1,0,2,2,0,0,0,0,2
ENSG00000226698,0,0,0,0,0,0,0,0,0
ENSG00000253368,1667,470,3388,4562,513,547,558,470,1293
ENSG00000299378,0,1,4,1,1,1,2,1,0
ENSG00000299392,0,0,1,0,0,3,0,0,0
ENSG00000230424,4,18,21,12,36,40,18,18,7
ENSG00000306364,0,0,1,0,0,0,0,0,0
ENSG00000306329,1,0,2,2,1,0,0,0,0
ENSG00000306287,0,1,0,0,1,0,0,1,0
ENSG00000173218,563,1479,1806,1461,1466,1871,1718,1479,670
ENSG00000118729,1,1,2,3,0,1,2,1,0
ENSG00000177551,0,0,3,0,2,2,1,0,0
ENSG00000214204,0,0,0,0,2,0,1,0,0
ENSG00000228127,1,2,0,3,3,0,0,2,1
ENSG00000271143,0,0,0,0,0,0,0,0,0
ENSG00000303689,4,2,11,1,3,2,0,2,4
ENSG00000308471,0,0,1,0,0,0,0,0,0
ENSG00000302489,3,1,2,0,1,3,2,1,0
ENSG00000299627,0,0,1,1,7,5,3,0,0
ENSG00000290041,5,0,7,8,9,9,4,0,2
ENSG00000300507,1,5,3,2,12,7,4,5,0
ENSG00000303550,0,0,0,0,0,0,0,0,0
ENSG00000173846,20,185,129,57,209,251,202,185,43
ENSG00000227045,0,3,2,0,0,1,2,3,0
ENSG00000269621,0,0,0,0,1,2,2,0,0
ENSG00000249602,2,7,11,6,15,16,10,7,6
ENSG00000268288,0,1,0,0,3,0,1,1,0
ENSG00000203288,1,18,25,6,29,52,25,18,13
ENSG00000303697,0,3,0,1,0,4,3,3,0
ENSG00000234614,4,160,6,4,95,136,156,160,4
ENSG00000285651,1,9,5,1,13,11,13,9,1
ENSG00000294771,0,0,0,0,0,0,0,0,0
ENSG00000294792,3,2,1,9,1,0,1,2,3
ENSG00000294865,0,0,0,0,0,0,0,0,0
ENSG00000286581,0,0,0,1,0,0,0,0,0
ENSG00000294841,0,0,3,1,0,0,0,0,0
ENSG00000298988,1,0,0,1,0,0,0,0,0
ENSG00000260021,1,0,0,0,0,2,0,0,0
ENSG00000295157,0,0,0,0,0,0,0,0,0
ENSG00000291234,0,128,24,11,110,124,159,128,10
ENSG00000293264,5,39,22,6,26,31,38,39,6
ENSG00000135821,644,18266,1516,2094,11916,13461,21643,18266,522
ENSG00000306613,1,1,2,3,15,22,4,1,1
ENSG00000203730,1,0,5,0,28,23,3,0,0
ENSG00000203729,0,0,0,0,2,0,0,0,0
ENSG00000121446,0,0,0,0,7,6,1,0,0
ENSG00000270443,0,0,0,0,0,0,0,0,0
ENSG00000233537,0,0,0,0,0,0,0,0,0
ENSG00000135828,9,538,42,25,617,799,587,538,9
ENSG00000276839,0,0,0,0,0,0,0,0,0
ENSG00000225670,0,0,3,6,0,0,1,0,2
ENSG00000228560,0,0,0,0,0,0,0,0,0
ENSG00000301556,0,0,0,0,0,0,0,0,0
ENSG00000163568,37,0,79,137,0,0,2,0,25
ENSG00000299357,0,0,0,0,0,0,0,0,0
ENSG00000299373,0,0,0,0,0,0,0,0,0
ENSG00000117543,292,2985,1229,830,4701,5526,3215,2985,473
ENSG00000233184,43,162,228,109,581,677,255,162,86
ENSG00000252765,0,0,0,0,0,0,0,0,0
ENSG00000306733,1,0,0,0,1,0,0,0,0
ENSG00000271578,0,0,0,0,0,0,0,0,0
ENSG00000162692,1,0,3,1,2,2,4,0,2
ENSG00000162694,166,1154,511,464,1323,1294,1427,1154,187
ENSG00000273204,1,18,7,9,33,35,21,18,2
ENSG00000162695,576,1594,1496,1558,1807,1912,1861,1594,573
ENSG00000230946,3,0,9,5,0,1,1,0,7
ENSG00000235146,0,0,0,0,0,1,0,0,0
ENSG00000237491,8,96,22,25,76,91,108,96,11
ENSG00000177757,1,13,2,0,18,15,19,13,0
ENSG00000297178,0,4,0,0,10,10,15,4,0
ENSG00000297224,0,0,0,0,0,0,0,0,0
ENSG00000230368,0,1,0,0,0,1,0,1,0
ENSG00000293331,0,0,0,0,0,2,0,0,0
ENSG00000225880,9,256,54,31,262,351,268,256,14
ENSG00000215846,0,0,1,0,0,0,0,0,0
ENSG00000286285,0,1,0,0,1,2,1,1,0
ENSG00000236290,0,0,0,0,0,0,0,0,0
ENSG00000272371,2,1,10,8,4,4,3,1,1
ENSG00000226745,0,0,0,0,0,0,0,0,0
ENSG00000299088,0,0,0,0,0,0,0,0,0
ENSG00000225079,0,0,0,0,0,0,0,0,0
ENSG00000294675,0,0,0,0,0,0,0,0,0
ENSG00000234020,1,0,1,2,0,0,0,0,0
ENSG00000296639,0,1,0,0,0,2,0,1,0
ENSG00000274927,0,0,0,0,0,0,0,0,0
ENSG00000310320,0,0,0,0,0,0,0,0,0
ENSG00000277702,0,0,0,0,0,0,0,0,0
ENSG00000294133,0,0,1,0,7,10,4,0,2
ENSG00000274642,0,0,0,0,0,0,0,0,0
ENSG00000305887,0,1,2,0,0,0,0,1,1
ENSG00000286151,0,0,1,0,0,0,0,0,0
ENSG00000299055,1,1,1,0,2,0,0,1,0
ENSG00000231100,0,0,0,0,0,0,0,0,0
ENSG00000224943,0,0,0,0,0,1,0,0,0
ENSG00000227777,0,0,0,0,0,0,0,0,0
ENSG00000307038,0,0,2,2,0,3,0,0,3
ENSG00000276118,0,0,0,0,0,0,0,0,0
ENSG00000307995,0,0,0,0,1,0,0,0,0
ENSG00000275075,0,0,0,0,0,0,0,0,0
ENSG00000307444,0,0,0,0,0,0,0,0,0
ENSG00000223495,0,0,0,0,0,0,0,0,0
ENSG00000303869,0,0,0,0,0,0,0,0,0
ENSG00000235827,0,0,0,0,0,0,0,0,0
ENSG00000307652,0,0,1,0,0,0,0,0,0
ENSG00000237379,0,0,0,0,0,0,0,0,0
ENSG00000299390,0,5,6,5,2,2,8,5,1
ENSG00000227711,0,0,0,0,0,0,0,0,0
ENSG00000287205,0,0,1,0,0,0,0,0,0
ENSG00000293279,6,51,45,30,84,79,46,51,14
ENSG00000237188,2,3,10,8,4,2,0,3,1
ENSG00000228247,0,0,0,0,0,0,0,0,0
ENSG00000286775,0,0,0,0,1,0,0,0,0
ENSG00000228289,0,0,3,0,0,0,0,0,0
ENSG00000294677,1,0,0,2,0,0,0,0,0
ENSG00000286073,0,0,0,0,0,0,0,0,0
ENSG00000294460,0,0,0,0,0,1,0,0,0
ENSG00000227728,0,0,0,0,0,2,0,0,0
ENSG00000242042,0,0,1,0,0,0,0,0,0
ENSG00000230813,0,0,0,0,0,0,0,0,0
ENSG00000302053,0,0,0,0,1,0,1,0,0
ENSG00000233084,0,0,0,0,0,0,0,0,0
ENSG00000298524,0,1,1,1,0,0,0,1,0
ENSG00000227815,0,0,0,0,0,0,0,0,0
ENSG00000236021,3,22,4,1,31,32,30,22,2
ENSG00000229112,0,0,0,0,0,0,0,0,0
ENSG00000302016,0,2,0,0,1,0,0,2,0
ENSG00000271558,0,0,0,0,0,0,0,0,0
ENSG00000296037,0,0,0,0,0,4,0,0,0
ENSG00000228175,0,0,0,0,0,0,0,0,0
ENSG00000299996,3,31,11,8,39,56,48,31,3
ENSG00000233020,5,5,1,9,2,4,9,5,0
ENSG00000310316,0,0,0,0,0,0,0,0,0
ENSG00000237861,0,0,0,0,0,0,0,0,0
ENSG00000290127,4,29,6,5,69,74,35,29,5
ENSG00000236675,0,0,0,1,0,1,1,0,0
ENSG00000302966,12,375,47,32,370,451,361,375,14
ENSG00000217327,0,0,0,0,0,0,0,0,0
ENSG00000287102,0,0,0,0,0,0,0,0,0
ENSG00000203761,0,0,0,0,0,0,0,0,0
ENSG00000229828,0,0,0,0,0,0,0,0,0
ENSG00000299329,0,0,0,0,0,0,0,0,0
ENSG00000225080,0,0,0,0,0,0,0,0,0
ENSG00000301740,0,1,0,0,1,0,0,1,0
ENSG00000237090,0,2,0,0,0,0,2,2,0
ENSG00000228192,4,40,12,8,66,57,67,40,12
ENSG00000203855,0,0,0,0,0,0,0,0,0
ENSG00000298638,1,1,0,0,0,0,0,1,0
ENSG00000215864,0,1,2,0,1,5,2,1,0
ENSG00000307795,0,0,0,0,0,0,0,0,0
ENSG00000234226,0,0,0,0,0,0,0,0,0
ENSG00000294611,0,0,0,0,0,0,0,0,0
ENSG00000225217,0,0,0,0,0,0,0,0,0
ENSG00000310471,0,0,0,0,0,0,0,0,0
ENSG00000223779,0,0,0,0,0,0,0,0,0
ENSG00000307187,0,1,1,1,2,2,0,1,0
ENSG00000233430,0,0,0,0,0,0,0,0,0
ENSG00000307096,0,0,0,0,0,0,0,0,0
ENSG00000265531,0,0,0,0,0,0,0,0,0
ENSG00000307137,0,1,0,0,2,1,0,1,0
ENSG00000268074,0,0,0,0,0,0,0,0,0
ENSG00000307229,0,0,0,0,0,0,0,0,0
ENSG00000270872,1,0,0,1,0,0,1,0,0
ENSG00000294260,0,0,4,4,0,1,2,0,1
ENSG00000289318,6,29,17,10,18,21,22,29,16
ENSG00000229367,0,0,0,0,0,0,0,0,0
ENSG00000310399,0,0,0,0,1,0,0,0,0
ENSG00000226947,0,0,0,0,0,0,0,0,0
ENSG00000285753,0,0,0,0,0,0,0,0,0
ENSG00000215914,0,0,0,0,0,0,0,0,0
ENSG00000310190,0,11,0,0,5,11,20,11,0
ENSG00000224680,0,0,0,0,0,0,0,0,0
ENSG00000287078,3,62,19,17,85,79,100,62,5
ENSG00000236040,0,0,0,0,0,0,0,0,0
ENSG00000302399,0,0,0,0,0,0,0,0,0
ENSG00000225656,0,1,2,0,2,3,1,1,1
ENSG00000244137,0,2,0,0,8,7,4,2,0
ENSG00000224800,0,0,0,0,0,0,0,0,0
ENSG00000295148,0,0,1,1,0,2,0,0,1
ENSG00000239670,0,4,1,1,4,5,4,4,1
ENSG00000236065,0,6,12,4,22,22,14,6,5
ENSG00000235912,0,0,0,0,0,0,0,0,0
ENSG00000310432,0,0,0,0,1,0,0,0,0
ENSG00000227177,0,0,0,0,0,0,0,0,0
ENSG00000224183,0,3,0,0,2,0,1,3,0
ENSG00000309241,0,0,1,0,0,0,0,0,0
ENSG00000240667,0,0,0,0,0,0,0,0,0
ENSG00000307040,0,0,0,0,0,0,0,0,0
ENSG00000226949,0,0,0,0,0,0,0,0,0
ENSG00000230576,0,0,0,0,0,0,0,0,0
ENSG00000305224,0,0,0,0,0,0,0,0,0
ENSG00000232456,0,0,0,0,0,0,0,0,0
ENSG00000307216,0,0,1,3,1,0,2,0,1
ENSG00000268020,0,0,0,0,0,0,0,0,0
ENSG00000290826,0,0,0,0,0,0,0,0,0
ENSG00000268903,0,0,0,0,0,0,0,0,0
ENSG00000308579,1,2,0,0,1,1,0,2,0
ENSG00000269981,1,0,1,2,0,1,0,0,0
ENSG00000186301,0,31,1,3,18,38,18,31,1
ENSG00000293901,0,0,0,0,0,0,0,0,0
ENSG00000236698,0,0,0,0,0,0,0,0,0
ENSG00000290849,2,11,5,9,6,20,12,11,2
ENSG00000234262,0,0,0,0,0,0,0,0,0
ENSG00000229035,0,0,0,0,0,0,0,0,0
ENSG00000242757,0,0,0,0,0,0,0,0,0
ENSG00000234277,0,0,0,0,0,0,0,0,0
ENSG00000278273,0,0,0,0,0,0,0,0,0
ENSG00000305955,0,0,0,0,0,0,0,0,0
ENSG00000287607,0,0,0,0,0,0,0,0,0
ENSG00000302082,0,1,0,0,0,1,1,1,0
ENSG00000283752,0,0,0,0,0,0,0,0,0
ENSG00000297370,0,0,0,0,0,1,0,0,0
ENSG00000236741,0,0,0,0,0,0,0,0,0
ENSG00000309242,12,17,59,25,22,41,19,17,24
ENSG00000175658,0,0,0,0,0,0,0,0,0
ENSG00000290869,0,0,0,0,0,0,0,0,0
ENSG00000232678,0,0,0,0,0,0,0,0,0
ENSG00000229021,4,10,7,9,3,9,5,10,3
ENSG00000234367,0,0,0,0,0,0,0,0,0
ENSG00000303386,3,2,9,7,7,3,4,2,1
ENSG00000224064,0,0,0,0,0,0,0,0,0
ENSG00000297103,0,0,0,1,0,1,0,0,0
ENSG00000274019,0,0,0,0,0,0,0,0,0
ENSG00000230228,0,0,0,0,0,0,0,0,0
ENSG00000299163,1,0,1,0,0,1,0,0,1
ENSG00000181201,0,0,0,0,0,0,0,0,0
ENSG00000297366,0,0,0,1,0,1,0,0,0
ENSG00000234953,0,0,0,0,0,0,0,0,0
ENSG00000242598,0,0,0,0,0,0,0,0,0
ENSG00000228940,0,0,0,0,0,0,0,0,0
ENSG00000274423,0,0,0,0,0,0,0,0,0
ENSG00000270728,7,27,19,13,43,34,47,27,3
ENSG00000308073,13,58,31,39,83,73,104,58,14
ENSG00000290683,157,461,548,424,510,484,476,461,165
ENSG00000213063,0,0,0,0,0,0,0,0,0
ENSG00000304468,0,0,0,0,0,0,0,0,0
ENSG00000227941,0,0,0,0,0,0,0,0,0
ENSG00000259788,12,9,22,32,4,19,9,9,11
ENSG00000235082,28,7,34,73,7,8,8,7,23
ENSG00000298630,1,3,3,0,1,7,0,3,2
ENSG00000227242,0,0,0,0,1,0,0,0,0
ENSG00000305893,0,2,0,0,0,0,0,2,0
ENSG00000310005,1,0,0,0,0,0,0,0,0
ENSG00000283342,0,3,0,0,4,3,3,3,0
ENSG00000299589,0,19,0,2,8,11,23,19,0
ENSG00000275140,0,0,0,0,0,0,0,0,0
ENSG00000186543,0,0,0,0,0,0,0,0,0
ENSG00000295832,0,0,2,0,0,0,0,0,1
ENSG00000236731,0,0,0,0,0,0,0,0,0
ENSG00000296111,0,0,0,0,0,0,0,0,0
ENSG00000233712,0,0,0,0,0,0,0,0,0
ENSG00000227243,0,0,0,0,0,0,0,0,0
ENSG00000308282,0,5,1,0,0,0,0,5,0
ENSG00000232059,0,0,0,0,0,0,0,0,0
ENSG00000250894,0,0,0,0,0,0,0,0,0
ENSG00000295394,0,0,0,0,0,0,0,0,0
ENSG00000213244,0,0,0,0,0,0,0,0,0
ENSG00000278182,0,0,0,0,0,0,0,0,0
ENSG00000287374,0,0,0,0,0,0,0,0,0
ENSG00000275064,0,0,0,0,0,2,2,0,0
ENSG00000232621,0,0,0,0,0,0,0,0,0
ENSG00000274886,0,5,1,0,5,4,3,5,0
ENSG00000231029,0,0,0,0,0,0,0,0,0
ENSG00000305739,0,0,0,0,0,0,0,0,0
ENSG00000236679,0,0,0,0,0,0,0,0,0
ENSG00000292994,2,4,3,5,4,5,5,4,1
ENSG00000233653,0,0,0,0,0,0,0,0,0
ENSG00000224927,0,0,0,0,0,0,0,0,0
ENSG00000298607,0,0,1,0,0,1,0,0,0
